"Date","Open","High","Low","Close"
"23 Jun 2022","36998.95","37355.55","36943.55","37316.50"
"22 Jun 2022","37092.75","37386.90","36883.15","36963.30"
"21 Jun 2022","36990.95","37463.30","36879.50","37317.75"
"20 Jun 2022","36300.10","37046.60","36179.00","36915.75"
"17 Jun 2022","36519.95","36590.15","36024.05","36264.55"
"16 Jun 2022","37098.20","37178.35","36440.15","36621.15"
"15 Jun 2022","37072.40","37096.35","36756.20","36830.90"
"14 Jun 2022","36979.05","37297.20","36820.20","36999.15"
"13 Jun 2022","36999.25","37318.70","36929.00","37078.10"
"10 Jun 2022","37083.45","37496.20","37059.90","37428.70"
"09 Jun 2022","37229.40","37545.00","36862.55","37440.65"
"08 Jun 2022","37632.40","37689.20","37121.65","37254.35"
"07 Jun 2022","37940.60","38013.15","37494.80","37648.85"
"06 Jun 2022","38190.15","38399.30","37741.35","38238.45"
"03 Jun 2022","38638.30","38677.30","38212.00","38273.90"
"02 Jun 2022","38332.05","38567.95","37952.20","38497.30"
"01 Jun 2022","38793.10","39280.75","38356.85","38434.55"
"31 May 2022","38627.40","38957.95","38185.40","38713.45"
"30 May 2022","38444.30","38731.70","38314.20","38610.40"
"27 May 2022","38126.60","38343.25","37825.40","38242.70"
"26 May 2022","37796.25","37924.20","37346.30","37849.20"
"25 May 2022","38257.25","38334.30","37798.85","37930.95"
"24 May 2022","38625.50","38625.95","37922.50","38010.85"
"23 May 2022","38551.60","38784.30","38308.00","38510.80"
"20 May 2022","38055.05","38699.15","37989.20","38546.35"
"19 May 2022","37355.90","38136.50","37355.90","37740.45"
"18 May 2022","37579.30","38033.15","37531.30","37989.05"
"17 May 2022","36959.60","37606.55","36865.65","37518.75"
"16 May 2022","37067.35","37095.25","36653.90","36759.50"
"13 May 2022","36610.20","37371.55","36520.65","36887.15"
"12 May 2022","36582.80","36612.85","35826.70","36221.75"
"11 May 2022","36897.30","37056.80","36151.10","36658.40"
"10 May 2022","36789.40","37311.30","36712.45","36911.90"
"09 May 2022","37078.25","37123.60","36553.60","36732.00"
"06 May 2022","36915.95","37419.30","36762.65","37279.30"
"05 May 2022","37869.75","37990.55","37322.80","37408.05"
"04 May 2022","38432.45","38737.35","37495.15","37621.80"
"02 May 2022","38008.70","38341.60","37886.45","38285.30"
"29 Apr 2022","38592.45","38781.05","38086.55","38204.15"
"28 Apr 2022","38106.15","38608.25","37854.70","38460.25"
"27 Apr 2022","37615.45","37800.20","37374.15","37634.50"
"26 Apr 2022","37528.65","37985.60","37505.25","37866.70"
"25 Apr 2022","37317.90","37674.30","36926.05","37167.40"
"22 Apr 2022","37838.30","38093.60","37661.05","37775.45"
"21 Apr 2022","37859.95","38087.35","37773.70","38005.90"
"20 Apr 2022","37517.40","37867.65","37270.70","37722.80"
"19 Apr 2022","38609.45","38808.70","37102.55","37337.40"
"18 Apr 2022","38028.60","38527.10","37952.40","38422.10"
"13 Apr 2022","38034.60","38309.75","37894.70","38191.40"
"12 Apr 2022","38088.55","38181.70","37797.15","37931.40"
"11 Apr 2022","38398.70","38533.35","38024.35","38236.25"
"08 Apr 2022","37710.40","38378.80","37607.80","38322.65"
"07 Apr 2022","37518.85","37846.20","37507.90","37561.70"
"06 Apr 2022","37477.15","37761.20","37307.35","37588.90"
"05 Apr 2022","37358.75","37866.65","37220.90","37656.80"
"04 Apr 2022","36767.70","37259.85","36613.85","37191.75"
"01 Apr 2022","36321.45","36829.90","36229.90","36712.15"
"31 Mar 2022","35963.15","36397.40","35939.40","36287.75"
"30 Mar 2022","35831.75","36029.35","35754.75","35858.25"
"29 Mar 2022","35736.25","35853.05","35555.05","35640.15"
"28 Mar 2022","35632.55","35723.50","35264.90","35659.45"
"25 Mar 2022","35907.95","35924.55","35314.85","35522.75"
"24 Mar 2022","35714.20","36029.35","35634.25","35797.15"
"23 Mar 2022","36126.35","36136.75","35751.30","35789.85"
"22 Mar 2022","36118.65","36148.80","35382.80","35887.05"
"21 Mar 2022","36843.85","36869.25","36085.15","36149.35"
"17 Mar 2022","36605.85","36822.40","36513.85","36782.70"
"16 Mar 2022","35978.95","36338.20","35769.55","36273.60"
"15 Mar 2022","35534.30","35985.45","35438.30","35649.95"
"14 Mar 2022","35654.30","35654.30","35237.85","35589.40"
"11 Mar 2022","35519.95","35655.45","35255.60","35613.65"
"10 Mar 2022","35050.95","35587.10","34966.75","35530.30"
"09 Mar 2022","34192.15","34615.55","33963.20","34486.95"
"08 Mar 2022","33495.80","34044.50","33462.40","34006.90"
"07 Mar 2022","33960.10","34072.60","33407.55","33657.45"
"04 Mar 2022","34788.80","34854.15","34136.50","34627.85"
"03 Mar 2022","35494.1","35555.85","34955.55","35019.60"
"02 Mar 2022","35187.6","35427.35","35035.55","35364.45"
"28 Feb 2022","35150.55","35593.85","34623.55","35515.40"
"25 Feb 2022","35057.65","35465.8","34934.05","35292.55"
"24 Feb 2022","34984.95","35452.75","34608.65","34735.15"
"23 Feb 2022","36005.70","36108.15","35865.00","35933.10"
"22 Feb 2022","35713.40","35946.20","35561.80","35879.85"
"21 Feb 2022","36291.10","36400.15","36055.35","36200.30"
"18 Feb 2022","36439.20","36662.95","36370.10","36498.70"
"17 Feb 2022","36526.15","36653.65","36320.15","36571.70"
"16 Feb 2022","36510.45","36698.75","36274.60","36460.75"
"15 Feb 2022","35845.00","36528.95","35683.60","36438.70"
"14 Feb 2022","35988.05","36027.30","35556.10","35661.25"
"11 Feb 2022","36874.05","36877.15","36407.65","36671.65"
"10 Feb 2022","36836.15","37043.10","36515.20","36982.55"
"09 Feb 2022","36907.95","36936.45","36709.25","36852.85"
"08 Feb 2022","36848.95","36890.80","36555.35","36765.95"
"07 Feb 2022","37468.40","37591.05","36595.20","36764.95"
"04 Feb 2022","37662.50","37712.25","37210.70","37508.40"
"03 Feb 2022","37570.20","37699.70","37338.70","37467.20"
"02 Feb 2022","37482.15","37609.50","37274.85","37581.50"
"01 Feb 2022","36720.05","37231.35","36533.70","37183.80"
"31 Jan 2022","36361.45","36669.80","36351.75","36467.25"
"28 Jan 2022","36033.75","36552.30","36033.05","36188.30"
"27 Jan 2022","36093.70","36228.45","35689.20","35966.80"
"25 Jan 2022","35849.25","36443.25","35366.55","36382.85"
"24 Jan 2022","36838.65","36880.70","35783.25","35941.35"
"21 Jan 2022","36633.65","36993.95","36502.95","36812.90"
"20 Jan 2022","37216.80","37317.25","36530.00","36681.40"
"19 Jan 2022","37491.70","37508.90","37036.65","37106.40"
"18 Jan 2022","38085.35","38218.15","37439.55","37503.15"
"17 Jan 2022","37850.15","38092.15","37633.15","37988.90"
"14 Jan 2022","38080.00","38124.40","37784.00","37816.00"
"13 Jan 2022","38092.30","38141.05","37922.35","38087.25"
"12 Jan 2022","37976.85","38026.55","37821.20","37992.95"
"11 Jan 2022","38039.90","38111.35","37781.65","37849.90"
"10 Jan 2022","38012.20","38174.60","37904.85","37984.05"
"07 Jan 2022","37649.20","37909.10","37644.70","37864.45"
"06 Jan 2022","37704.25","37786.25","37427.95","37622.50"
"05 Jan 2022","37798.70","37941.40","37690.70","37910.95"
"04 Jan 2022","37687.60","37842.65","37477.75","37800.35"
"03 Jan 2022","37673.25","37725.50","37559.75","37606.05"
"31 Dec 2021","37206.8","37630.4","37149.3","37579.95"
"30 Dec 2021","37063.15","37159.35","36999.4","37075.65"
"29 Dec 2021","37180.3","37236.35","36991.1","37028.70"
"28 Dec 2021","37004.5","37191.1","36887.3","37162.70"
"27 Dec 2021","36871.3","36965.05","36558","36883.40"
"24 Dec 2021","37136.25","37152.3","36836.95","36913.75"
"23 Dec 2021","36756.7","37041.85","36623.05","36995.10"
"22 Dec 2021","36558.65","36669.45","36309.3","36505.55"
"21 Dec 2021","36295.7","36674","36174.4","36336.80"
"20 Dec 2021","36231.15","36244.15","35653.55","36084.65"
"17 Dec 2021","37164.85","37199.5","36378.25","36438.00"
"16 Dec 2021","37538.3","37566.6","37110.1","37244.35"
"15 Dec 2021","37692.7","37766.65","37318.4","37424.65"
"14 Dec 2021","37817.6","37937.55","37499.45","37642.60"
"13 Dec 2021","38408.8","38450.95","37772.95","37823.55"
